order,type,document_number,pracel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc,type_of_usage
3446,โฉนด,10600,1891,6046.0,05A137,0.0,1.0,57.0,157.0,0.0,0.0,0.0,0.0,agriculture
3447,โฉนด,1892,736,1268.0,05B001,0.0,1.0,68.0,0.0,0.0,168.0,0.0,0.0,other
3448,โฉนด,1327,737,1269.0,05B002,0.0,1.0,50.8,0.0,0.0,150.8,0.0,0.0,other
3449,โฉนด,2767,739,1270.0,05B003,0.0,0.0,81.0,0.0,0.0,0.0,0.0,81.0,misc
3450,โฉนด,8024,738,2360.0,05B003/001,0.0,0.0,74.5,0.0,0.0,74.5,0.0,0.0,other
3451,โฉนด,14696,740,1271.0,05B004,0.0,0.0,35.4,0.0,0.0,35.4,0.0,0.0,other
3452,โฉนด,45810,741,3858.0,05B004/001,0.0,0.0,18.7,0.0,0.0,0.0,0.0,18.7,misc
3453,โฉนด,45811,742,3859.0,05B004/002,0.0,0.0,18.3,0.0,0.0,0.0,0.0,18.3,misc
3454,โฉนด,78854,10,4542.0,05B004/003,0.0,0.0,76.6,0.0,0.0,76.6,0.0,0.0,other
3455,โฉนด,2410,750,1634.0,05B005,0.0,2.0,35.1,0.0,0.0,235.1,0.0,0.0,other
3456,โฉนด,2249,749,1273.0,05B006,0.0,0.0,76.7,0.0,76.7,0.0,0.0,0.0,living
3457,โฉนด,1160,748,1272.0,05B007,0.0,0.0,30.9,0.0,0.0,0.0,0.0,30.9,misc
3458,โฉนด,46296,744,3861.0,05B007/002,0.0,0.0,25.6,0.0,25.6,0.0,0.0,0.0,living
3459,โฉนด,46297,745,3862.0,05B007/003,0.0,0.0,24.8,0.0,0.0,0.0,0.0,24.8,misc
3460,โฉนด,46298,746,3863.0,05B007/004,0.0,0.0,23.8,0.0,23.8,0.0,0.0,0.0,living
3461,โฉนด,46299,747,3864.0,05B007/005,0.0,0.0,25.3,0.0,0.0,25.3,0.0,0.0,other
3462,โฉนด,2405,1686,1683.0,05B008,0.0,2.0,10.2,0.0,210.2,0.0,0.0,0.0,living
3463,โฉนด,1455,1685,1684.0,05B009,0.0,0.0,89.1,0.0,89.1,0.0,0.0,0.0,living
3464,โฉนด,10570,1684,2447.0,05B010,0.0,0.0,28.5,0.0,28.5,0.0,0.0,0.0,living
3465,โฉนด,1145,751,1274.0,05B011,0.0,1.0,9.5,0.0,0.0,109.5,0.0,0.0,other
3466,โฉนด,64038,37,4108.0,05B011/001,0.0,1.0,31.7,0.0,131.7,0.0,0.0,0.0,living
3467,โฉนด,64037,76,4107.0,05B011/002,0.0,0.0,8.8,0.0,8.8,0.0,0.0,0.0,living
3468,โฉนด,1144,1687,1275.0,05B012,0.0,1.0,92.1,0.0,192.1,0.0,0.0,0.0,living
3469,โฉนด,47962,752,3880.0,05B012/001,0.0,0.0,35.8,0.0,0.0,35.8,0.0,0.0,other
3470,โฉนด,75139,7,4448.0,05B012/002,0.0,0.0,36.8,0.0,0.0,36.8,0.0,0.0,other
3471,โฉนด,1133,1688,1277.0,05B013,0.0,2.0,7.1,0.0,207.1,0.0,0.0,0.0,living
3472,โฉนด,1134,1689,1276.0,05B014,0.0,0.0,33.9,0.0,33.9,0.0,0.0,0.0,living
3473,โฉนด,68636,2684,4334.0,05B014/001,0.0,0.0,67.4,0.0,67.4,0.0,0.0,0.0,living
3474,โฉนด,68637,2685,4335.0,05B014/002,0.0,0.0,54.6,0.0,54.6,0.0,0.0,0.0,living
3475,โฉนด,98055,24,4936.0,05B014/003,0.0,0.0,33.9,0.0,33.9,0.0,0.0,0.0,living
3476,โฉนด,2088,1683,1278.0,05B016,0.0,2.0,36.1,0.0,0.0,0.0,236.1,0.0,wasteland
3477,โฉนด,1131,1680,1279.0,05B017,0.0,0.0,22.6,0.0,0.0,22.6,0.0,0.0,other
3478,โฉนด,29018,1682,3467.0,05B017/001,0.0,0.0,61.8,0.0,0.0,0.0,61.8,0.0,wasteland
3479,โฉนด,29019,1681,3468.0,05B017/002,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,other
3480,โฉนด,29187,1678,3593.0,05B017/003,0.0,0.0,15.0,0.0,7.0,8.0,0.0,15.0,living
3481,โฉนด,44347,1679,3807.0,05B017/004,0.0,0.0,15.0,0.0,11.0,4.0,0.0,15.0,living
3482,โฉนด,80864,173,4568.0,05B017/005,0.0,0.0,10.1,0.0,10.1,0.0,0.0,0.0,living
3483,โฉนด,80865,174,4569.0,05B017/006,0.0,0.0,9.3,0.0,9.3,0.0,0.0,0.0,living
3484,โฉนด,1920,1677,1280.0,05B018,0.0,3.0,92.1,0.0,0.0,0.0,392.1,0.0,wasteland
3485,โฉนด,134206,2775,6105.0,05B018/001,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,misc
3486,โฉนด,134207,2776,5961.0,05B018/002,0.0,0.0,29.6,0.0,0.0,0.0,0.0,29.6,misc
3487,โฉนด,134208,2777,5962.0,05B018/003,0.0,0.0,29.4,0.0,0.0,0.0,0.0,29.4,misc
3488,โฉนด,134209,2778,5963.0,05B018/004,0.0,0.0,29.1,0.0,0.0,0.0,0.0,29.1,misc
3489,โฉนด,134210,2779,5964.0,05B018/005,0.0,0.0,28.5,0.0,0.0,0.0,0.0,28.5,misc
3490,โฉนด,134211,2780,5965.0,05B018/006,0.0,0.0,28.3,0.0,0.0,0.0,0.0,28.3,misc
3491,โฉนด,134212,2781,5966.0,05B018/007,0.0,0.0,28.1,0.0,0.0,28.1,0.0,0.0,other
3492,โฉนด,134213,2782,5967.0,05B018/008,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,other
3493,โฉนด,1256,1675,1281.0,05B020,1.0,3.0,21.4,0.0,0.0,0.0,721.4,0.0,wasteland
3494,โฉนด,2685,1667,1694.0,05B023,0.0,1.0,42.8,0.0,0.0,142.8,0.0,0.0,other
3495,โฉนด,10134,1663,2400.0,05B024,0.0,1.0,34.8,0.0,0.0,0.0,134.8,0.0,wasteland
3496,โฉนด,2686,1662,1695.0,05B025,0.0,1.0,33.8,0.0,0.0,0.0,133.8,0.0,wasteland
3497,โฉนด,10135,1657,2401.0,05B026,0.0,1.0,68.1,0.0,0.0,0.0,168.1,0.0,wasteland
3498,โฉนด,1168,1656,1692.0,05B027,0.0,1.0,26.0,0.0,0.0,0.0,126.0,0.0,wasteland
3499,โฉนด,1188,1653,1686.0,05B028,0.0,0.0,96.8,0.0,0.0,0.0,96.8,0.0,wasteland
3500,โฉนด,19781,1652,3128.0,05B029,0.0,1.0,33.6,0.0,0.0,133.6,0.0,0.0,other
3501,โฉนด,19782,1647,3129.0,05B030,0.0,1.0,21.0,0.0,121.0,0.0,0.0,0.0,living
3502,โฉนด,7546,1673,2160.0,05B032,0.0,1.0,12.8,0.0,112.8,0.0,0.0,0.0,living
3503,โฉนด,7545,1672,2159.0,05B033,0.0,0.0,64.6,0.0,64.6,0.0,0.0,0.0,living
3504,โฉนด,7547,1671,2161.0,05B034,0.0,0.0,23.4,0.0,23.4,0.0,0.0,0.0,living
3505,โฉนด,2421,1669,1282.0,05B035,0.0,1.0,55.8,0.0,155.8,0.0,0.0,0.0,living
3506,โฉนด,1225,1666,1283.0,05B036,0.0,2.0,79.1,0.0,279.1,0.0,0.0,0.0,living
3507,โฉนด,1172,1664,1284.0,05B037,0.0,1.0,73.7,0.0,173.7,0.0,0.0,0.0,living
3508,โฉนด,27646,1665,3539.0,05B037/001,0.0,0.0,45.1,0.0,45.1,0.0,0.0,0.0,living
3509,โฉนด,1308,1661,1285.0,05B038,0.0,1.0,69.7,0.0,169.7,0.0,0.0,0.0,living
3510,โฉนด,1167,1660,1286.0,05B039,0.0,1.0,41.8,0.0,141.8,0.0,0.0,0.0,living
3511,โฉนด,8502,1659,2338.0,05B040,0.0,0.0,43.5,0.0,0.0,0.0,43.5,0.0,wasteland
3512,โฉนด,1983,1658,1287.0,05B041,0.0,1.0,88.9,0.0,188.9,0.0,0.0,0.0,living
3513,โฉนด,1075,1655,1288.0,05B042,0.0,0.0,81.0,0.0,81.0,0.0,0.0,0.0,living
3514,โฉนด,62045,93,4004.0,05B042/001,0.0,1.0,40.4,0.0,140.4,0.0,0.0,0.0,living
3515,โฉนด,87756,95,4801.0,05B042/002,0.0,0.0,77.2,0.0,77.2,0.0,0.0,0.0,living
3516,โฉนด,87755,94,4800.0,05B042/004,0.0,1.0,44.0,0.0,144.0,0.0,0.0,0.0,living
3517,โฉนด,1700,1654,1289.0,05B043,0.0,2.0,46.7,0.0,246.7,0.0,0.0,0.0,living
3518,โฉนด,1164,1651,1290.0,05B044,0.0,3.0,24.3,0.0,324.3,0.0,0.0,0.0,living
3519,โฉนด,2771,331,1885.0,05B044/001,0.0,0.0,19.2,0.0,0.0,19.2,0.0,0.0,other
3520,โฉนด,19783,1648,3130.0,05B045,0.0,0.0,68.4,0.0,68.4,0.0,0.0,0.0,living
3521,โฉนด,66135,2530,4169.0,05B045/001,0.0,0.0,68.5,0.0,68.5,0.0,0.0,0.0,living
3522,โฉนด,1202,1649,1291.0,05B046,0.0,1.0,32.4,0.0,132.4,0.0,0.0,0.0,living
3523,โฉนด,19784,1644,3131.0,05B047,0.0,1.0,3.0,0.0,0.0,103.0,0.0,0.0,other
3524,โฉนด,2136,1782,1292.0,05B048,0.0,0.0,77.0,0.0,0.0,77.0,0.0,0.0,other
3525,โฉนด,19785,1645,3125.0,05B049,0.0,0.0,24.7,0.0,0.0,24.7,0.0,0.0,other
3526,โฉนด,2135,1646,1299.0,05B050,0.0,1.0,7.0,0.0,107.0,0.0,0.0,0.0,living
3527,โฉนด,9348,1643,2393.0,05B051,1.0,0.0,5.0,0.0,405.0,0.0,0.0,0.0,living
3528,โฉนด,1959,1642,1293.0,05B052,1.0,0.0,5.5,0.0,389.5,16.0,0.0,0.0,living
3529,โฉนด,2495,1641,1294.0,05B053,0.0,1.0,35.0,0.0,0.0,0.0,135.0,0.0,wasteland
3530,โฉนด,1582,1639,1687.0,05B054,0.0,1.0,24.3,0.0,124.3,0.0,0.0,0.0,living
3531,โฉนด,2149,1640,1295.0,05B055,0.0,1.0,90.4,0.0,190.4,0.0,0.0,0.0,living
3532,โฉนด,1736,1638,1688.0,05C001,0.0,3.0,11.0,0.0,311.0,0.0,0.0,0.0,living
3533,โฉนด,1045,1636,1296.0,05C002,0.0,2.0,37.4,0.0,237.4,0.0,0.0,0.0,living
3534,โฉนด,2321,1637,1774.0,05C003,0.0,0.0,37.4,0.0,37.4,0.0,0.0,0.0,living
3535,โฉนด,1014,1635,1297.0,05C004,0.0,1.0,87.1,0.0,0.0,0.0,187.1,0.0,wasteland
3536,โฉนด,135244,2783,6062.0,05C004/001,0.0,0.0,32.6,0.0,0.0,0.0,32.6,0.0,wasteland
3537,โฉนด,135245,2784,6063.0,05C004/002,0.0,0.0,21.3,0.0,0.0,0.0,21.3,0.0,wasteland
3538,โฉนด,135246,2785,6064.0,05C004/003,0.0,0.0,20.9,0.0,0.0,0.0,20.9,0.0,wasteland
3539,โฉนด,135247,2786,6065.0,05C004/004,0.0,0.0,20.4,0.0,0.0,0.0,20.4,0.0,wasteland
3540,โฉนด,1007,1634,1298.0,05C005,0.0,1.0,90.2,0.0,172.7,17.5,0.0,0.0,living
3541,โฉนด,2710,1633,1871.0,05C006,0.0,1.0,5.0,0.0,105.0,0.0,0.0,0.0,living
3542,โฉนด,2711,1632,1872.0,05C007,0.0,0.0,78.5,0.0,0.0,78.5,0.0,0.0,other
3543,โฉนด,1008,1631,1300.0,05C008,0.0,1.0,37.4,0.0,137.4,0.0,0.0,0.0,living
3544,โฉนด,1009,1630,1301.0,05C009,0.0,0.0,16.9,0.0,16.9,0.0,0.0,0.0,living
3545,โฉนด,45819,1629,3856.0,05C009/001,0.0,0.0,16.1,0.0,16.1,0.0,0.0,0.0,living
3546,โฉนด,45818,1628,3855.0,05C009/002,0.0,0.0,16.3,0.0,16.3,0.0,0.0,0.0,living
3547,โฉนด,45817,1627,3854.0,05C009/003,0.0,0.0,16.6,0.0,16.6,0.0,0.0,0.0,living
3548,โฉนด,45816,1626,3853.0,05C009/004,0.0,0.0,16.8,0.0,16.8,0.0,0.0,0.0,living
3549,โฉนด,45812,1625,3849.0,05C009/005,0.0,0.0,30.9,0.0,0.0,0.0,0.0,30.9,misc
3550,โฉนด,45813,1624,3850.0,05C009/006,0.0,0.0,17.3,0.0,0.0,17.3,0.0,0.0,other
3551,โฉนด,45814,1623,3851.0,05C009/007,0.0,0.0,17.3,0.0,17.3,0.0,0.0,0.0,living
3552,โฉนด,45815,1622,3852.0,05C009/008,0.0,0.0,18.2,0.0,0.0,0.0,0.0,18.2,misc
3553,โฉนด,1078,1621,1302.0,05C011,0.0,1.0,45.0,0.0,127.0,18.0,0.0,0.0,living
3554,โฉนด,1126,2038,1303.0,05C012,0.0,3.0,62.9,362.9,0.0,0.0,0.0,0.0,agriculture
3555,โฉนด,85149,2112,4708.0,05C012/001,0.0,3.0,62.9,0.0,0.0,362.9,0.0,0.0,other
3556,โฉนด,1016,2040,1304.0,05C014,0.0,2.0,55.9,0.0,255.9,0.0,0.0,0.0,living
3557,โฉนด,1058,2041,1315.0,05C015,0.0,1.0,34.4,0.0,134.4,0.0,0.0,0.0,living
3558,โฉนด,1059,2042,1316.0,05C016,0.0,1.0,25.2,0.0,0.0,125.2,0.0,0.0,other
3559,โฉนด,1063,2043,1317.0,05C017,0.0,1.0,20.9,0.0,0.0,0.0,0.0,120.9,misc
3560,โฉนด,107736,92,5046.0,05C017/001,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,living
3561,โฉนด,1002,2044,1318.0,05C018,0.0,1.0,31.8,0.0,131.8,0.0,0.0,0.0,living
3562,โฉนด,1110,2045,1319.0,05C019,0.0,0.0,76.5,0.0,0.0,0.0,76.5,0.0,wasteland
3563,โฉนด,84967,44,4735.0,05C019/001,0.0,1.0,17.6,0.0,0.0,0.0,117.6,0.0,wasteland
3564,โฉนด,84966,43,4734.0,05C019/002,0.0,0.0,35.2,0.0,0.0,0.0,35.2,0.0,wasteland
3565,โฉนด,84969,35,4737.0,05C019/003,0.0,0.0,68.2,0.0,0.0,0.0,68.2,0.0,wasteland
3566,โฉนด,84968,34,4736.0,05C019/004,0.0,0.0,17.3,0.0,0.0,0.0,17.3,0.0,wasteland
3567,โฉนด,1042,388,1321.0,05C020,0.0,0.0,75.5,0.0,75.5,0.0,0.0,0.0,living
3568,โฉนด,84970,42,4732.0,05C020/001,0.0,0.0,56.9,0.0,56.9,0.0,0.0,0.0,living
3569,โฉนด,84971,33,4733.0,05C020/002,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,living
3570,โฉนด,1129,2046,1320.0,05C021,0.0,3.0,6.0,0.0,306.0,0.0,0.0,0.0,living
3571,ไม่ระบุ,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,unknown
3572,โฉนด,1038,2047,1327.0,05C022,0.0,1.0,26.2,0.0,126.2,0.0,0.0,0.0,living
3573,ไม่ระบุ,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,unknown
3574,โฉนด,1006,2048,1326.0,05C023,0.0,1.0,28.7,0.0,128.7,0.0,0.0,0.0,living
3575,โฉนด,1029,385,1325.0,05C024,0.0,1.0,32.4,132.4,0.0,0.0,0.0,0.0,agriculture
3576,โฉนด,1019,380,1324.0,05C025,0.0,0.0,16.1,0.0,0.0,0.0,16.1,0.0,wasteland
3577,โฉนด,54605,384,3971.0,05C025/001,0.0,0.0,16.2,0.0,0.0,0.0,16.2,0.0,wasteland
3578,โฉนด,54606,383,3972.0,05C025/002,0.0,0.0,14.2,0.0,0.0,0.0,14.2,0.0,wasteland
3579,โฉนด,54607,382,3973.0,05C025/003,0.0,0.0,13.9,0.0,0.0,0.0,13.9,0.0,wasteland
3580,โฉนด,54608,381,3974.0,05C025/004,0.0,0.0,13.6,0.0,0.0,0.0,13.6,0.0,wasteland
3581,โฉนด,54604,375,3970.0,05C025/005,0.0,0.0,31.6,0.0,0.0,0.0,0.0,31.6,misc
3582,โฉนด,54603,376,3969.0,05C025/006,0.0,0.0,15.7,0.0,0.0,0.0,0.0,15.7,misc
3583,โฉนด,54602,377,3968.0,05C025/007,0.0,0.0,15.6,0.0,15.6,0.0,0.0,0.0,living
