ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),ลักษณะการทำประโยชน์
148,โฉนด,131.0,2232,364,02L067,0,1,70.0,170.0,ประกอบเกษตรกรรม
247,โฉนด,232.0,1486,430,03H003,0,1,5.3,105.3,ประกอบเกษตรกรรม
424,โฉนด,405.0,477,702,05H025,0,0,62.7,62.7,ประกอบเกษตรกรรม
727,โฉนด,711.0,2303,814,06E010,2,0,99.1,899.1,ประกอบเกษตรกรรม
1122,โฉนด,1110.0,2045,1319,05C019,0,0,76.5,76.5,ประกอบเกษตรกรรม
1291,โฉนด,1309.0,1190,1528,03G027,1,2,4.9,589.5,ประกอบเกษตรกรรม
1395,โฉนด,1598.0,1867,45,05A016,0,2,16.0,216.0,ประกอบเกษตรกรรม
1402,โฉนด,1626.0,569,1682,05E032,0,3,44.2,344.2,ประกอบเกษตรกรรม
1489,โฉนด,1816.0,2034,2,05C085,2,0,23.3,823.3,ประกอบเกษตรกรรม
1736,โฉนด,2383.0,224,1806,05E072,0,3,21.3,321.3,ประกอบเกษตรกรรม
1741,โฉนด,2388.0,584,1811,05E061,0,3,78.5,378.5,ประกอบเกษตรกรรม
1742,โฉนด,2389.0,2192,1777,03H005,0,0,40.0,40.0,ประกอบเกษตรกรรม
1759,โฉนด,2423.0,478,1826,05H024,0,0,70.5,70.5,ประกอบเกษตรกรรม
1776,โฉนด,2456.0,1144,1551,03E005,0,2,26.9,226.9,ประกอบเกษตรกรรม
1924,โฉนด,2794.0,360,1902,05G051,0,1,35.6,135.6,ประกอบเกษตรกรรม
1941,โฉนด,2811.0,314,1919,05F093,0,1,95.7,195.7,ประกอบเกษตรกรรม
2009,โฉนด,2934.0,577,1986,05E049,0,1,93.3,193.3,ประกอบเกษตรกรรม
2137,โฉนด,7470.0,608,2112,05I026,0,0,82.0,82.0,ประกอบเกษตรกรรม
2653,โฉนด,10979.0,2033,1560,05C082,0,1,7.6,107.6,ประกอบเกษตรกรรม
2786,โฉนด,11242.0,660,2672,02D049,0,1,23.7,123.7,ประกอบเกษตรกรรม
2787,โฉนด,11243.0,659,2673,02D050,0,1,26.4,126.4,ประกอบเกษตรกรรม
2866,โฉนด,11418.0,1950,2769,06J010,0,0,59.5,59.5,ประกอบเกษตรกรรม
2899,โฉนด,11453.0,2001,2804,06J046,0,1,19.8,119.8,ประกอบเกษตรกรรม
2920,โฉนด,11482.0,1965,2833,06G018,0,2,0.3,200.3,ประกอบเกษตรกรรม
2922,โฉนด,11484.0,1964,2835,06G023,0,1,19.6,119.6,ประกอบเกษตรกรรม
2930,โฉนด,11492.0,2227,2843,06G030,0,1,19.8,119.8,ประกอบเกษตรกรรม
2943,โฉนด,11506.0,2241,2857,06G038,0,1,43.6,143.6,ประกอบเกษตรกรรม
3006,โฉนด,11610.0,256,2939,05F044,0,1,11.4,111.4,ประกอบเกษตรกรรม
3007,โฉนด,11611.0,255,2940,05F045,0,1,11.4,111.4,ประกอบเกษตรกรรม
3008,โฉนด,11612.0,254,2941,05F046,0,1,11.8,111.8,ประกอบเกษตรกรรม
3019,โฉนด,11623.0,294,2952,05F057,0,1,11.0,111.0,ประกอบเกษตรกรรม
3249,โฉนด,20089.0,1817,6584,05A111,0,1,3.0,103.0,ประกอบเกษตรกรรม
3390,โฉนด,24274.0,920,4331,05N024,0,1,12.0,112.0,ประกอบเกษตรกรรม
3687,โฉนด,27504.0,747,731,05L071,0,1,50.9,150.9,ประกอบเกษตรกรรม
3759,โฉนด,28924.0,2056,3576,06J079,0,1,34.3,134.3,ประกอบเกษตรกรรม
3762,โฉนด,28927.0,2059,3579,06J086,0,0,93.0,93.0,ประกอบเกษตรกรรม
3845,โฉนด,29512.0,621,3620,05L067,0,2,71.0,271.0,ประกอบเกษตรกรรม
3855,โฉนด,29667.0,1933,3653,05L040/022,0,0,71.2,71.2,ประกอบเกษตรกรรม
3985,โฉนด,33818.0,249,3759,05I001/009,0,2,53.0,253.0,ประกอบเกษตรกรรม
3999,โฉนด,34516.0,1446,3742,06A024/001,0,0,3.4,3.4,ประกอบเกษตรกรรม
4140,โฉนด,45079.0,751,1002,05L143,0,1,2.3,102.3,ประกอบเกษตรกรรม
4320,โฉนด,59530.0,618,3975,05L062,0,2,93.2,293.2,ประกอบเกษตรกรรม
4322,โฉนด,59532.0,620,3976,05L065,0,2,70.9,270.9,ประกอบเกษตรกรรม
4323,โฉนด,59533.0,617,3977,05L064,0,1,71.8,171.8,ประกอบเกษตรกรรม
4324,โฉนด,59534.0,616,3978,05L066,0,3,68.2,368.2,ประกอบเกษตรกรรม
4325,โฉนด,59846.0,2433,4017,03H060/001,1,3,28.4,728.4,ประกอบเกษตรกรรม
4455,โฉนด,66283.0,200,4120,06I008/001,0,0,63.0,63.0,ประกอบเกษตรกรรม
4533,โฉนด,66588.0,2638,4205,05I040/004,0,1,14.3,114.3,ประกอบเกษตรกรรม
4867,โฉนด,79929.0,525,9102,02F024,3,3,11.0,1511.0,ประกอบเกษตรกรรม
5029,โฉนด,84967.0,44,4735,05C019/001,0,1,17.6,117.6,ประกอบเกษตรกรรม
