order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
105,โฉนด,1477,237,1408,01B016,0,1,2.6,,102.6,,,
106,โฉนด,1662,553,1410,01B017,0,0,87.4,,57.71,29.69,,
107,โฉนด,18679,239,3030,01B018,0,0,72.7,,72.7,,,
108,โฉนด,86746,32,4766,01B018/001,0,0,28.4,,28.4,,,
109,โฉนด,2296,240,1409,01B020,0,0,30.3,,30.3,,,
110,โฉนด,1287,244,1406,01B021,0,2,58.7,,258.7,,,
111,โฉนด,25302,241,3308,01B022,0,0,34.5,,34.5,,,
112,โฉนด,25303,242,3309,01B023,0,0,14.9,,14.9,,,
113,โฉนด,2004,243,1405,01B024,0,0,24.1,,24.1,,,
114,โฉนด,1213,246,1403,01B025,0,0,94.8,,94.8,,,
115,โฉนด,50767,247,3917,01B025/001,0,0,97.4,,79.9,17.5,,
116,โฉนด,1286,245,1404,01B026,0,0,52.8,,34.8,18,,
117,โฉนด,1212,293,1402,01B027,0,1,34.4,,134.4,,,
118,โฉนด,1209,294,1401,01B028,0,1,6.7,,106.7,,,
119,โฉนด,1965,295,1761,01B029,0,0,67.2,,67.2,,,
120,โฉนด,1333,296,1400,01B030,0,0,81.1,,72.1,9,,
121,โฉนด,1900,297,1399,01B031,0,0,65.4,,,,,65.4
122,โฉนด,1159,291,1396,01B032,0,2,73.4,,273.4,,,
123,โฉนด,2313,292,1397,01B033,0,0,67.1,67.1,,,,
124,โฉนด,3143,298,2025,01B034,0,0,85,,,35.4,,49.6
125,โฉนด,1118,299,1398,01B035,0,0,77.8,,77.8,,,
126,โฉนด,1105,290,1395,01B036,0,0,39.1,,39.1,,,
127,โฉนด,2743,287,1394,01B037,0,2,10.3,,210.3,,,
128,โฉนด,2822,288,1883,01B038,0,1,32.8,,132.8,,,
129,โฉนด,2823,289,1884,01B039,0,1,37,137,,,,
130,โฉนด,1106,300,1393,01B040,0,0,78.5,,78.5,,,
131,โฉนด,1155,302,1392,01B041,0,0,49.3,,,49.3,,
132,โฉนด,7774,301,2076,01B041/001,0,0,48.2,,,48.2,,
133,โฉนด,1115,303,1391,01B042,0,1,49.4,,,,149.4,
134,โฉนด,6980,304,2094,01B043,0,1,40.5,,140.5,,,
135,โฉนด,1976,305,1390,01B044,0,2,34.3,234.3,,,,
136,โฉนด,73936,12,4435,01B044/001,0,0,95.4,,95.4,,,
137,โฉนด,19205,310,3082,01B045,0,0,56,,,,,56
138,โฉนด,19206,309,3083,01B046,0,0,25.2,,,,,25.2
139,โฉนด,19207,308,3084,01B047,0,5,54.4,,,,,554.4
142,โฉนด,1347,318,1388,01C001,0,3,63.3,,346.3,17,,
143,โฉนด,1418,317,1387,01C002,0,0,99.6,,99.6,,,
144,โฉนด,1915,316,1386,01C003,0,0,95.2,,95.2,,,
145,โฉนด,1325,319,1384,01C004,0,3,11.1,311.1,,,,
146,โฉนด,28335,530,823,01C004/001,0,0,80.5,,80.5,,,
147,โฉนด,28912,320,3589,01C004/002,0,1,26.4,,126.4,,,
148,โฉนด,87179,34,4790,01C004/003,0,0,80.2,,80.2,,,
149,โฉนด,87180,35,4791,01C004/004,0,0,14.2,14.2,,,,
150,โฉนด,21010,315,3141,01C005,0,1,54.2,,,154.2,,
151,โฉนด,1385,350,1385,01C006,0,2,47.7,,,247.7,,
152,โฉนด,24832,338,3240,01C007,0,1,37.3,,137.3,,,
153,โฉนด,1321,339,1380,01C008,0,0,64,64,,,,
154,โฉนด,24833,340,3241,01C009,0,0,68.7,,68.7,,,
155,โฉนด,1257,343,1381,01C010,0,2,1.6,,201.6,,,
156,โฉนด,1266,344,1382,01C011,0,1,50.8,,150.8,,,
157,โฉนด,19275,349,3088,01C012,0,0,36.7,,36.7,,,
158,โฉนด,19274,348,3087,01C013,0,0,39.1,,,,,39.1
159,โฉนด,1169,347,1383,01C014,0,1,49.5,,,35.75,,113.8
160,โฉนด,1264,341,1379,01C015,0,2,61.3,,,261.3,,
161,โฉนด,1265,342,1378,01C016,0,1,47.2,,147.2,,,
162,โฉนด,1267,345,1377,01C017,0,2,6.9,,206.9,,,
163,โฉนด,1294,346,1376,01C018,0,0,55.8,,,55.8,,
164,โฉนด,1272,357,1375,01C019,0,1,49.5,149.5,,,,
165,โฉนด,66789,2561,4279,01C019/001,0,0,74.2,,74.2,,,
166,โฉนด,66790,2562,4280,01C019/002,0,0,51.7,51.7,,,,
167,โฉนด,99272,44,4969,01C019/003,0,0,50,,50,,,
168,โฉนด,144100,472,6509,01C019/004,0,0,31,,31,,,
169,โฉนด,1501,353,1373,01C020,0,2,16.6,,,16,,200.6
170,โฉนด,1273,356,1374,01C021,0,1,73.6,173.6,,,,
171,โฉนด,2699,360,1864,01C022,0,3,29,,,100,,229
172,โฉนด,2700,359,1865,01C023,0,3,34.8,,334.8,,,
173,โฉนด,10538,358,2432,01C024,0,1,93.4,193.4,,,,
174,โฉนด,2701,355,1866,01C025,0,1,42.7,142.7,,,,
175,โฉนด,3163,354,2012,01C026,0,1,15,,,115,,
176,โฉนด,1137,396,1372,01C027,1,0,5.7,,74.8,330.9,,
177,โฉนด,1326,397,1371,01C028,0,1,59.41,,159.4,,,
178,โฉนด,10921,398,2518,01C029,0,1,27.3,,118.6,8.75,,
179,โฉนด,7109,399,2096,01C030,0,0,65.7,,65.7,,,
180,โฉนด,1300,400,1370,01C031,0,3,4,,270,34,,
181,โฉนด,140261,462,6303,01C031/001,0,0,23,,23,,,
182,โฉนด,2075,616,1369,01C032,0,0,15,,15,,,
183,โฉนด,139335,460,6246,01C032/001,0,0,17.7,,17.7,,,
184,โฉนด,139338,861,6249,01C032/002,0,0,29.7,,29.7,,,
185,โฉนด,139337,860,6248,01C032/003,0,0,31.5,,31.5,,,
187,โฉนด,1270,394,1368,01C033,0,1,31.7,,131.7,,,
188,โฉนด,1738,393,1367,01C034,0,1,77.6,,,177.6,,
189,โฉนด,1797,392,1363,01C035,0,3,74.9,,374.9,,,
190,โฉนด,26928,395,3492,01C035/001,1,0,98,,498,,,
191,โฉนด,69668,1,4359,01C035/002,0,0,61.7,,61.7,,,
193,โฉนด,1306,614,1365,01C037,0,1,66.3,,166.3,,,
194,โฉนด,1305,615,1366,01C038,0,2,37.5,,154.5,83,,
195,โฉนด,1307,391,1358,01C039,0,1,59.8,,159.8,,,
198,โฉนด,8713,597,2349,01C042,0,1,32.8,,132.8,,,
199,โฉนด,26110,390,3409,01C042/001,0,0,13.4,,13.4,,,
200,โฉนด,2217,600,1354,01C043,0,1,14.3,,114.3,,,
201,โฉนด,7327,599,2107,01C043/001,0,0,57.1,,57.1,,,
202,โฉนด,2220,604,1356,01C044,0,1,54.4,,154.4,,,
203,โฉนด,1338,608,1359,01C045,0,0,99.9,,99.9,,,
204,โฉนด,2697,606,1861,01C046,0,0,54.8,,54.8,,,
205,โฉนด,2698,607,1862,01C047,0,0,54.9,,54.9,,,
206,โฉนด,1660,611,1361,01C048,0,2,38.5,,238.5,,,
207,โฉนด,1206,612,1364,01C049,0,2,85,,252.7,,,32.3
208,โฉนด,2653,596,1352,01C050,0,1,77.3,,147.3,30,,
210,โฉนด,29059,601,3590,01C051/001,0,0,77,,77,,,
211,โฉนด,2219,603,1355,01C052,0,0,98.9,,98.9,,,
212,โฉนด,2696,609,1863,01C053,0,0,78.8,,78.8,,,
213,โฉนด,1760,610,1360,01C054,0,3,11.2,,311.2,,,
214,โฉนด,1561,656,1345,01D001,0,3,29.3,,329.3,,,
215,โฉนด,26062,655,3384,01D001/001,0,1,23.6,,117.6,6,,
216,โฉนด,26061,653,3383,01D001/002,0,1,86.5,,182.5,4,,
217,โฉนด,26060,652,3382,01D001/003,0,1,80.8,,100,80.8,,
218,โฉนด,26059,650,3381,01D001/004,0,0,97.5,,82.5,15,,
219,โฉนด,11541,654,3648,01D001/005,0,0,38.9,,,38.9,,
220,โฉนด,67537,2530,4324,01D001/006,0,0,84,84,,,,
221,โฉนด,92930,31,4870,01D001/007,0,0,67.7,,67.7,,,
222,โฉนด,4032,648,2030,01D002,0,1,14.7,,4,110.7,,
223,โฉนด,1031,646,1351,01D003,0,0,50.8,,,6.8,,44.1
224,โฉนด,1253,649,1350,01D004,0,1,82.8,,182.8,,,
225,โฉนด,1166,651,1349,01D005,0,1,15.2,,,,,115.2
226,โฉนด,1088,661,1348,01D006,0,1,80.8,,,180.8,,
227,โฉนด,1165,660,1346,01D007,0,0,80.7,,,80.7,,
228,โฉนด,1049,662,1347,01D008,0,1,47.2,,99.2,48,,
229,โฉนด,1635,657,1341,01D009,0,1,51.9,,151.9,,,
230,โฉนด,1101,659,1344,01D011,0,2,56.1,,,256.1,,
231,โฉนด,1958,663,1342,01D012,0,2,18.9,,180.9,38,,
232,โฉนด,1036,664,1340,01D013,0,0,84.6,,84.6,,,
233,โฉนด,1557,666,1339,01D014,0,1,19,,119,,,
234,โฉนด,62455,53,4105,01D014/001,0,3,51.9,,,351.9,,
235,โฉนด,147146,862,6586,01D014/002,0,1,46.2,,146.2,,,
236,โฉนด,147147,863,6587,01D014/003,0,0,48.8,,48.8,,,
237,โฉนด,147148,864,6588,01D014/004,0,1,76.3,,176.3,,,
238,โฉนด,147149,865,6589,01D014/005,0,0,66.9,,66.9,,,
239,โฉนด,147150,866,6590,01D014/006,0,1,12.1,,,,112.1,
240,โฉนด,1404,665,1338,01D015,0,2,88.5,,260.9,27.6,,
241,โฉนด,1022,695,1087,01D016,0,1,63.2,,163.2,,,
242,โฉนด,67066,2581,4284,01D016/001,0,0,81.6,81.6,,,,
243,โฉนด,67065,2580,4283,01D016/002,0,0,81.6,,81.6,,,
244,โฉนด,67064,2579,4282,01D016/003,0,0,81.6,,81.6,,,
245,โฉนด,67067,2582,4285,01D016/004,0,0,30.5,,30.5,,,
246,โฉนด,1021,701,1093,01D017,0,2,52.1,,247.6,4.5,,
247,โฉนด,29732,708,3685,01D017/001,0,0,16.3,,,16.3,,
248,โฉนด,29731,707,3684,01D017/002,0,0,16.1,,,16.1,,
249,โฉนด,29730,706,3683,01D017/003,0,0,16.1,,,,,16.1
250,โฉนด,29729,705,3682,01D017/004,0,0,16.2,,,,,16.2
251,โฉนด,29728,704,3681,01D017/005,0,0,16,,,,,16
252,โฉนด,29727,703,3680,01D017/006,0,0,16,,,,,16
253,โฉนด,29726,702,3679,01D017/007,0,0,16.7,,16.7,,,
255,โฉนด,1614,693,1086,01D018,0,0,71,,71,,,
256,โฉนด,29508,678,3627,01D018/001,0,0,27,,27,,,
257,โฉนด,86903,23,4779,01D018/002,0,0,51.9,51.9,,,,
258,โฉนด,1299,694,1085,01D019,0,0,25.1,,25.1,,,
259,โฉนด,86016,2690,4761,01D019/001,0,1,24.4,,124.4,,,
260,โฉนด,86017,2691,4762,01D019/002,0,1,37.2,,137.2,,,
261,โฉนด,1089,696,1088,01D020,0,0,41,,41,,,
262,โฉนด,18770,697,3032,01D021,0,0,36.9,,36.9,,,
263,โฉนด,1023,698,1089,01D022,0,0,98,,98,,,
264,โฉนด,20999,700,3148,01D023,0,0,57.8,,,57.8,,
265,โฉนด,21000,699,3149,01D024,0,0,56.1,,,56.1,,
266,โฉนด,18772,691,3034,01D025,0,0,39.4,,39.4,,,
267,โฉนด,18771,690,3033,01D026,0,0,42.2,,42.2,,,
268,โฉนด,1634,688,1744,01D027,0,0,57.5,,57.5,,,
269,โฉนด,2938,687,1987,01D027/001,0,0,47.8,,47.8,,,
270,โฉนด,1100,679,1083,01D028,0,2,37.3,,237.3,,,
271,โฉนด,1012,683,1082,01D029,0,2,20.8,,,,220.8,
272,โฉนด,1190,692,1084,01D030,0,0,62.4,,62.4,,,
273,โฉนด,1132,684,1092,01D031,0,1,88.6,,188.6,,,
274,โฉนด,1069,686,1090,01D032,0,1,6.4,,86.4,,,20
275,โฉนด,1017,685,1091,01D033,0,0,15.1,,,,,15.1
276,โฉนด,73751,7,4436,01D033/001,0,0,19,,,19,,
277,โฉนด,73752,8,4437,01D033/002,0,0,17.4,,,17.4,,
278,โฉนด,73753,9,4438,01D033/003,0,0,22.2,,,22.2,,
279,โฉนด,1033,680,1080,01D034,0,1,67.6,,167.6,,,
280,โฉนด,1013,682,1081,01D035,0,0,91.4,,,91.4,,
281,โฉนด,78026,16,4517,01D035/001,0,0,60.4,,60.4,,,
282,โฉนด,1015,527,1079,01D036,0,1,65.1,,165.1,,,
283,โฉนด,10735,681,2460,01D037,0,2,9.9,,209.9,,,
284,โฉนด,1696,752,1094,01D038,0,1,63.4,,163.4,,,
285,โฉนด,1745,750,1095,01D039,0,0,84.9,,,84.9,,
286,โฉนด,9003,751,2383,01D040,0,1,12.7,,,30,,82.7
287,โฉนด,1362,757,1096,01D041,0,0,68.5,,68.5,,,
288,โฉนด,30453,754,3701,01D041/001,0,0,17,,17,,,
289,โฉนด,30454,755,3702,01D041/002,0,0,17,,17,,,
290,โฉนด,30455,756,3703,01D041/003,0,0,17,,,,,17
291,โฉนด,46327,753,3865,01D041/004,0,0,15.7,,15.7,,,
292,โฉนด,1507,759,1097,01D042,0,1,95.5,,179.5,16,,
292,โฉนด,1508,758,1726,01D042/001,0,1,64.5,,164.5,,,
293,โฉนด,873,760,1098,01D043,0,0,70,,70,,,
294,โฉนด,35414,761,3768,01D043/001,0,0,43.9,,43.9,,,
295,โฉนด,1901,574,1727,01D043/002,0,0,44.2,,44.2,,,
296,โฉนด,18968,762,3053,01D044,0,0,57.8,,57.8,,,
297,โฉนด,18969,763,3054,01D045,0,0,59.8,,,,,59.8
298,โฉนด,18970,764,3055,01D046,0,0,61.7,,,61.7,,
299,โฉนด,901,765,1099,01D047,0,0,95.14,,85.1,10,,
300,โฉนด,7463,575,2147,01D048,0,1,33.1,,133.1,,,
301,โฉนด,767,766,1100,01D049,0,1,29.7,,63.75,,,
302,โฉนด,902,767,1101,01D050,0,0,16.9,,16.9,,,
303,โฉนด,119631,48,5132,01D050/001,0,0,13.1,,13.1,,,
304,โฉนด,119656,45,5129,01D050/002,0,0,42.8,,42.8,,,
305,โฉนด,119657,46,5130,01D050/003,0,0,26.9,,26.9,,,
306,โฉนด,119633,50,5134,01D050/004,0,0,27.8,,27.8,,,
307,โฉนด,119632,49,5133,01D050/005,0,0,5.8,,5.8,,,
308,โฉนด,119658,47,5131,01D050/006,0,0,21.3,,21.3,,,
309,โฉนด,119634,51,5135,01D050/007,0,0,28.1,,,,,28.1
310,โฉนด,119635,52,5136,01D050/008,0,0,27.8,,,,,27.8
311,โฉนด,8345,576,2318,01D051,0,0,63.3,,63.3,,,
312,โฉนด,29484,579,3624,01D051/001,0,0,49.5,,49.5,,,
313,โฉนด,870,577,1108,01D052,0,0,37.1,,37.1,,,
314,โฉนด,893,578,1109,01D053,0,0,31.4,,31.4,,,
315,โฉนด,888,580,1106,01D054,0,0,48.1,,48.1,,,
316,โฉนด,2435,581,1103,01D055,0,0,63.7,,63.7,,,
317,โฉนด,826,768,1104,01D056,0,1,85,,,185,,
318,โฉนด,121169,57,5172,01D056/002,0,0,26.5,,26.5,,,
319,โฉนด,121170,58,5173,01D056/003,0,0,25.5,,,,,25.5
320,โฉนด,121171,59,5174,01D056/004,0,0,25.8,,25.8,,,
321,โฉนด,121172,60,5175,01D056/005,0,0,26.1,,26.1,,,
322,โฉนด,137964,633,6183,01D057,0,2,60.8,,260.8,,,
323,โฉนด,822,582,1105,01D058,0,0,36.3,,,,36.3,
324,โฉนด,132066,621,5544,01D058/001,0,0,29.1,,,29.1,,
325,โฉนด,132067,622,5545,01D058/002,0,0,29,,29,,,
326,โฉนด,132058,613,5536,01D059/001,0,0,29,,,,,29
327,โฉนด,132059,614,5537,01D059/002,0,0,29.1,,,,,29.1
328,โฉนด,132060,615,5538,01D059/003,0,0,29.1,,29.1,,,
329,โฉนด,132061,616,5539,01D059/004,0,0,29,,29,,,
330,โฉนด,132062,617,5540,01D059/005,0,0,29,,29,,,
331,โฉนด,132063,618,5541,01D059/006,0,0,29,,29,,,
332,โฉนด,132064,619,5542,01D059/007,0,0,29,,,29,,
333,โฉนด,132065,620,5543,01D059/008,0,0,79.4,,,79.4,,
334,โฉนด,19770,647,3089,01D060,0,0,9.1,9.1,,,,
335,โฉนด,2510,528,1078,01E001,0,1,5.5,,105.5,,,
336,โฉนด,8281,531,2329,01E002,0,1,5,,105,,,
337,โฉนด,1354,533,1077,01E003,0,0,45.2,,45.2,,,
338,โฉนด,29201,529,3594,01E003/001,0,0,22.2,,22.2,,,
339,โฉนด,29202,530,3595,01E003/002,0,0,47.8,,47.8,,,
340,โฉนด,29203,532,3596,01E003/003,0,0,46.2,46.2,,,,
341,โฉนด,128690,610,5435,01E003/004,0,0,16.5,,16.5,,,
342,โฉนด,128691,611,5436,01E003/005,0,0,13.5,,13.5,,,
343,โฉนด,128692,612,5437,01E003/006,0,0,14.4,,14.4,,,
344,โฉนด,2511,535,1076,01E004,0,0,44.8,,44.8,,,
345,โฉนด,46797,534,3872,01E004/001,0,0,23.7,,23.7,,,
346,โฉนด,67400,271,4306,01E004/002,0,0,22.2,,22.2,,,
347,โฉนด,67399,190,4305,01E004/003,0,0,21.7,,21.7,,,
348,โฉนด,67398,189,4304,01E004/004,0,0,21.2,,21.2,,,
349,โฉนด,67397,188,4303,01E004/005,0,0,20.8,,20.8,,,
350,โฉนด,67393,184,4299,01E004/006,0,0,23.7,,23.7,,,
351,โฉนด,67394,185,4300,01E004/007,0,0,18.3,,18.3,,,
352,โฉนด,67395,186,4301,01E004/008,0,0,18,,18,,,
353,โฉนด,67396,187,4302,01E004/009,0,0,17.6,,,,,17.6
354,โฉนด,70497,191,4364,01E004/010,0,0,22.7,,22.7,,,
355,โฉนด,80247,586,4587,01E004/011,0,0,21.7,,,,,21.7
356,โฉนด,80648,587,4588,01E004/012,0,0,22.4,,22.4,,,
357,โฉนด,80649,588,4589,01E004/013,0,0,19.7,,19.7,,,
358,โฉนด,80650,589,4590,01E004/014,0,0,20.8,,20.8,,,
359,โฉนด,148263,642,6607,01E004/016,0,2,83.4,,,,283.4,
360,โฉนด,883,573,1075,01E005,1,0,53.4,,,197.06,,
361,โฉนด,874,572,1074,01E006,0,1,88,,188,,,
362,โฉนด,132789,624,5847,01E006/001,0,0,69.8,,69.8,,,
363,โฉนด,872,571,1073,01E007,0,0,82.8,,82.8,,,
364,โฉนด,95310,84,4913,01E007/002,0,0,82.8,,82.8,,,
365,โฉนด,95311,85,4914,01E007/003,0,0,82.8,,82.8,,,
366,โฉนด,871,570,1072,01E008,0,2,1.9,,,201.9,,
367,โฉนด,1882,986,1071,01E009,0,3,22.6,,282.1,40.5,,
368,โฉนด,27074,569,3500,01E009/001,0,2,10.8,,210.8,,,
369,โฉนด,2671,987,1854,01E010,0,0,56.4,,56.4,,,
370,โฉนด,1053,989,1070,01E011,0,0,88.2,,88.2,,,
371,โฉนด,30737,788,3718,01E011/001,0,0,17.3,,17.3,,,
372,โฉนด,2446,990,1829,01E012,0,0,49.3,,49.3,,,
373,โฉนด,98213,35,4944,01E012/001,0,0,12.3,,12.3,,,
374,โฉนด,98212,34,4943,01E012/002,0,0,12.3,,12.3,,,
375,โฉนด,98211,33,4942,01E012/003,0,0,12.4,,12.4,,,
376,โฉนด,98210,32,4941,01E012/004,0,0,12.3,,12.3,,,
377,โฉนด,1061,992,1069,01E013,0,1,2.3,,102.3,,,
378,โฉนด,11466,991,3628,01E013/001,0,0,37.8,,37.8,,,
379,โฉนด,1065,993,1068,01E014,0,0,57.9,,57.9,,,
380,โฉนด,1062,994,1067,01E015,0,0,72.1,,72.1,,,
381,โฉนด,2492,995,1066,01E016,0,0,48.6,,48.6,,,
382,โฉนด,2583,996,1838,01E017,0,0,57.4,,,,,57.4
383,โฉนด,800,1034,1113,01E020,0,3,24.8,324.8,,,,
384,โฉนด,124949,578,5334,01E020/001,0,0,44.1,,,,,44.1
385,โฉนด,124948,577,5333,01E020/002,0,0,22.3,,,,,22.3
