order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
1,โฉนด,1457,1309,1442,01A001,2,3,22.7,,1122.7,,,1
2,โฉนด,1181,1384,1441,01A002,1,0,38.7,,438.7,,,
3,โฉนด,1755,1386,1439,01A003,0,0,75.5,,75.5,,,
4,โฉนด,85625,37,4752,01A003/001,0,0,75.5,,75.5,,,
5,โฉนด,85626,38,4753,01A003/002,0,0,75.5,,75.5,,,
6,โฉนด,1402,1385,1440,01A004,0,1,20.7,,,,,120.7
7,โฉนด,1758,1389,1438,01A005,2,1,8.7,908.7,,,,
8,โฉนด,2050,1390,1435,01A006,0,0,93,,,,93,
9,โฉนด,1795,1388,1436,01A007,0,1,51,,151,,,
10,โฉนด,61758,61,4000,01A007/001,0,1,46.9,,144.7,2.25,,
11,โฉนด,1844,1387,1437,01A008,0,0,42.5,,39,3.5,,
12,โฉนด,131312,1715,5518,01A008/001,0,0,85,,78.5,6.5,,
13,โฉนด,142848,1743,6484,01A008/002,0,0,42.5,,42.5,,,
14,โฉนด,2819,1395,1848,01A009,0,1,1.7,,,,101.7,
15,โฉนด,26931,1394,3453,01A009/001,0,0,99.3,,,,99.3,
16,โฉนด,26930,1393,3452,01A009/002,0,0,82.5,,,,82.5,
17,โฉนด,5840,1392,2068,01A010,0,0,98.3,,98.3,,,
18,โฉนด,2820,1391,1849,01A011,0,0,65.6,,,65.6,,
19,โฉนด,1415,1423,1425,01A012,0,2,13.3,,213.2,,,
20,โฉนด,29372,1422,3608,01A012/001,0,1,15.3,,115.3,,,
21,โฉนด,29371,1421,3607,01A012/002,0,0,78.6,,78.6,,,
22,โฉนด,29373,1424,3609,01A012/003,0,0,66.2,,66.2,,,
23,โฉนด,1845,1440,1434,01A013,0,0,53.4,,53.4,,,
24,โฉนด,81535,33,5638,01A013/001,0,0,62.4,,62.4,,,
25,โฉนด,7567,1441,2163,01A014,0,0,22.3,,22.3,,,
26,โฉนด,89337,42,4824,01A014/001,0,0,45.8,,7.4,38.4,,
27,โฉนด,1200,1439,1433,01A015,0,0,66.3,,,66.3,,
28,โฉนด,2001,1420,1424,01A016,0,0,50,,50,,,
29,โฉนด,83425,1704,4650,01A016/001,0,0,52.6,,52.6,,,
30,โฉนด,1199,1425,1430,01A017,0,0,88.1,,88.1,,,
31,โฉนด,80057,31,4549,01A017/001,0,0,79.7,,79.7,,,
32,โฉนด,80056,254,9234,01A017/002,0,0,77.3,,77.3,,,
33,โฉนด,1124,1437,1431,01A018,0,0,63.3,,,63.3,,
34,โฉนด,1198,1436,1432,01A019,0,0,29.3,,,29.3,,
35,โฉนด,29662,1438,3673,01A019/001,0,0,21.8,,,21.8,,
36,โฉนด,2000,1435,1429,01A020,0,1,57.9,,,,,157.9
37,โฉนด,11766,1419,2586,01A021,0,0,99.2,,,99.2,,
38,โฉนด,11765,1418,2585,01A022,0,1,7.2,,,107.2,,
39,โฉนด,1315,1417,1423,01A023,0,1,82.9,,182.9,,,
40,โฉนด,1998,1416,1422,01A024,0,0,94.5,,94.5,,,
41,โฉนด,1992,1415,1421,01A025,0,1,4.1,,104.1,,,
42,โฉนด,1346,1413,1419,01A026,0,1,43.2,,127.5,15.75,,
43,โฉนด,70207,1,4360,01A026/001,0,0,33.3,,33.3,,,
44,โฉนด,2036,1414,1420,01A027,0,1,0,,100,,,
45,โฉนด,146920,1777,6581,01A027/001,0,0,35.9,35.9,,,,
46,โฉนด,10703,1412,2448,01A028,0,1,58.9,,158.9,,,
47,โฉนด,1289,541,1418,01A029,0,0,72,,72,,,
48,โฉนด,133139,1716,5885,01A029/001,0,0,66.1,,66.1,,,
49,โฉนด,10674,542,2449,01A030,0,1,29.9,,129.9,,,
50,โฉนด,2009,1426,1428,01A031,0,0,85.3,,85.3,,,
51,โฉนด,2010,1427,1738,01A032,0,0,81.4,,81.4,,,
52,โฉนด,1372,1433,5392,01A033,0,0,84.8,,70.8,14,,
53,โฉนด,1342,1428,1426,01A034,0,0,87.7,,87.7,,,
54,โฉนด,2656,1430,1850,01A035,0,0,43.8,,43.8,,,
55,โฉนด,18868,1432,3046,01A036,0,0,24.2,,24.2,,,
56,โฉนด,63835,30,4119,01A036/001,0,0,21.9,,,3,,18.9
57,โฉนด,63834,29,4118,01A036/002,0,0,21,,,,,21
58,โฉนด,25211,1429,3284,01A037,0,0,42.6,,42.6,,,
59,โฉนด,18867,1431,3045,01A038,0,0,63.2,,63.2,,,
60,โฉนด,66359,534,4189,01A039,0,0,86.8,,,86.8,,
61,โฉนด,66356,531,4186,01A039/001,0,0,33.8,,,33.8,,
62,โฉนด,66357,532,4187,01A039/002,0,0,22.6,,,22.6,,
63,โฉนด,66358,533,4188,01A039/003,0,0,21.5,,,21.5,,
64,โฉนด,1150,543,1577,01A039/004,0,0,77.2,,,15,,62.2
65,โฉนด,1176,1310,156,01A040,0,2,46.2,,246.2,,,
66,โฉนด,69706,1714,7338,01A040/001,0,1,0,,100,,,
67,โฉนด,71939,1719,7524,01A040/002,0,0,47.6,,47.6,,,
68,โฉนด,1177,1311,155,01A041,0,1,59.1,,159.1,,,
70,โฉนด,1923,1313,6301,01A043,0,0,89.1,,89.1,,,
71,โฉนด,1184,1315,152,01A044,0,2,69.8,,269.8,,,
72,โฉนด,94572,1705,10543,01A044/001,0,0,90.7,,90.7,,,
73,โฉนด,72196,13,4403,01A044/002,0,0,84.1,84.1,,,,
74,โฉนด,1180,1316,151,01A045,0,1,0.5,,100.0.5,,,
75,โฉนด,1148,1317,5953,01A046,0,0,38.8,,,,,38.8
76,โฉนด,139346,1738,6255,01A046/001,0,0,19.9,,,,,19.9
77,โฉนด,139347,1739,6256,01A046/002,0,0,19.8,,,,,19.8
78,โฉนด,139348,1740,6257,01A046/003,0,0,19.7,,,,,19.7
79,โฉนด,139354,1741,6261,01A046/004,0,0,19.6,,,,,19.6
80,โฉนด,138962,1725,3213,01A046/005,0,0,19.6,,,,,19.6
81,โฉนด,139342,1735,6251,01A046/006,0,0,20.2,,,,,20.2
82,โฉนด,139343,1736,6252,01A046/007,0,0,206,,,,,206
83,โฉนด,139344,1737,6253,01A046/008,0,0,21,,,,,21
84,โฉนด,138961,1724,3212,01A046/009,0,0,42.3,,,,,42.3
85,โฉนด,15563,1314,3214,01A047,0,1,151.8,,151.8,,,
86,โฉนด,8836,232,2363,01B001,0,0,84.4,,82.5,1.88,,
87,โฉนด,8835,547,2362,01B002,0,0,84.3,,84.3,,,
88,โฉนด,8834,546,2361,01B003,0,0,83.3,,83.3,,,
89,โฉนด,1646,545,1416,01B004,0,1,19.1,,119.1,,,
90,โฉนด,1790,544,1417,01B005,0,1,24.2,,98,26.25,,
91,โฉนด,1912,233,1415,01B006,0,1,52.6,,152.6,,,
92,โฉนด,8837,548,2364,01B007,0,0,63.4,,63.4,,,
93,โฉนด,107981,53,5048,01B007/001,0,0,63.3,,63.3,,,
94,โฉนด,1906,549,1414,01B008,0,0,89.7,,89.7,,,
95,โฉนด,1104,550,1443,01B009,0,3,24.3,,324.3,,,
96,โฉนด,2342,234,1413,01B010,0,0,89.5,,89.5,,,
97,โฉนด,112916,27,5058,01B010/001,0,0,83.4,,83.4,,,
98,โฉนด,112915,26,5057,01B010/002,0,0,6.1,6.1,,,,
99,โฉนด,7218,551,2099,01B011,0,0,59.9,,59.9,,,
100,โฉนด,2214,235,1412,01B012,0,2,4.6,,204.6,,,
101,โฉนด,2339,552,1669,01B013,0,0,37.2,,37.2,,,
102,โฉนด,1484,236,1411,01B014,0,3,47.1,,347.1,,,
103,โฉนด,2333,238,1407,01B015,0,1,14.7,,114.7,,,
104,โฉนด,86747,33,4767,01B015/001,0,1,14.6,,114.6,,,
