order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
1,โฉนด,1526,896,1475,03A001,0,1,69.8,,,139.80,,
2,โฉนด,1722,897,1476,03A002,0,0,50,50.0,,,,
3,โฉนด,1968,898,1506,03A003,0,0,53,,,53.00,,
4,โฉนด,4043,899,2031,03A004,0,0,82,,82.00,,,
5,โฉนด,1578,901,1477,03A005,0,0,81.8,,81.80,,,
6,โฉนด,2268,900,1478,03A006,0,0,98.5,,,98.50,,
7,โฉนด,1511,902,1479,03A007,0,0,69.8,,,69.80,,
8,โฉนด,1663,903,1480,03A008,0,1,11.7,,,111.70,,
9,โฉนด,1771,904,1481,03A009,0,1,95.6,,195.60,,,
10,โฉนด,2309,905,1483,03A010,0,3,63.6,,,363.60,,
11,โฉนด,1505,907,1484,03A011,1,0,8.5,,,408.50,,
12,โฉนด,2619,906,1482,03A012,1,1,7.1,,,507.10,,
13,โฉนด,1278,908,1485,03A013,0,2,12.1,,,212.10,,
14,โฉนด,2308,912,1486,03A014,0,1,9.7,,,109.70,,
15,โฉนด,1341,909,1693,03A016,1,2,47.1,,624.10,23.00,,
16,โฉนด,49940,910,3911,03A016/001,0,2,47.1,,,,247.10,
17,โฉนด,1774,911,1487,03A017,0,2,26.3,,226.30,,,
18,โฉนด,1345,914,1488,03A018,0,2,20.3,,220.30,,,
19,โฉนด,18775,915,3048,03A019,0,0,87.1,,87.10,,,
20,โฉนด,136258,986,6107,03A019/001,0,0,7.7,,7.70,,,
21,โฉนด,2350,917,902,03A020,1,0,23.7,,,423.70,,
22,โฉนด,1828,918,1582,03A021,1,1,10,,,510.00,,
23,โฉนด,2007,916,1489,03A022,0,3,23.7,,,323.70,,
24,โฉนด,2721,919,1490,03A023,0,3,37,,,337.00,,
25,โฉนด,2708,968,1680,03A024,0,1,83.1,,167.40,15.75,,
26,โฉนด,1319,969,1524,03A025,0,1,36.1,,,136.10,,
27,โฉนด,1667,920,1583,03A026,8,1,37.9,,,,3379.90,
28,โฉนด,1037,931,5390,03A027,2,1,19.4,,,,,
29,โฉนด,1093,929,1492,03A028,0,2,16.9,,,216.90,,
30,โฉนด,2687,930,1858,03A029,0,1,95.9,,195.90,,,
31,โฉนด,1647,928,1493,03A030,0,2,12.5,,212.50,,,
32,โฉนด,1293,927,1494,03A031,0,0,31.4,,31.40,,,
33,โฉนด,140944,993,6341,03A031/001,0,0,49,,49.00,,,
34,โฉนด,140943,992,6340,03A031/002,0,0,24.5,,24.50,,,
35,โฉนด,140942,991,6339,03A031/003,0,0,31.7,,,31.70,,
36,โฉนด,140938,987,6335,03A031/004,0,0,24.5,,,24.50,,
37,โฉนด,140939,988,6336,03A031/005,0,0,24.5,,,24.50,,
38,โฉนด,140940,989,6337,03A031/006,0,0,24.5,,,24.50,,
39,โฉนด,140941,990,6338,03A031/007,0,0,25,,,25.00,,
40,โฉนด,1866,925,1689,03A033,0,2,11,,,,211.00,
41,โฉนด,1109,924,1584,03A034,2,1,72.5,,,,972.50,
42,โฉนด,1332,932,1633,03A035,6,1,17.4,,,2517.40,,
43,โฉนด,1329,964,1496,03A036,2,2,9.3,,,1009.30,,
44,โฉนด,ลพ.0680,,,03B001,5,3,3,,,,,
45,โฉนด,1330,954,1522,03B002,2,2,17.5,,,,,
46,โฉนด,22126,955,3157,03B003,0,1,14.2,,,,,
47,โฉนด,1867,956,1521,03B004,3,0,51.9,,,,1251.90,
48,โฉนด,1331,957,1519,03B005,4,3,89.6,,,,,
49,โฉนด,1383,960,1517,03B006,3,0,39.4,,,,1239.40,
50,โฉนด,1486,959,1518,03B007,5,3,85,,,,,
51,โฉนด,1389,961,1510,03B009,1,0,88.4,,,,488.40,
52,โฉนด,1381,962,1509,03B010,2,3,9.2,,,,1109.20,
53,โฉนด,1382,963,1508,03B011,6,1,44.9,,,2544.90,,
54,โฉนด,1396,965,1507,03B012,6,1,4.9,,,,2504.90,
55,โฉนด,1691,923,1751,03B013,3,2,50.4,,,,1450.40,
56,โฉนด,26288,921,3430,03B013/001,0,1,18.4,,,118.40,,
57,โฉนด,1367,922,1690,03B013/002,0,0,32.8,,32.80,,,
58,โฉนด,79699,9,4597,03B013/003,0,0,31.5,,,31.50,,
