ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
19,โฉนด,-,36,4813,06D141,0,0,78.0,-,-,-,78.0,-,ว่างเปล่า/ไม่ทำประโยชน์
20,โฉนด,-,37,4814,06D142,0,0,42.0,-,-,-,42.0,-,ว่างเปล่า/ไม่ทำประโยชน์
38,โฉนด,18.0,2101,28,04A111,0,1,81.2,-,-,-,181.2,-,ว่างเปล่า/ไม่ทำประโยชน์
46,โฉนด,26.0,2098,37,04A108,0,0,53.9,-,-,-,53.9,-,ว่างเปล่า/ไม่ทำประโยชน์
108,โฉนด,90.0,845,310,04A160,0,1,40.0,-,-,-,140.0,-,ว่างเปล่า/ไม่ทำประโยชน์
141,โฉนด,123.0,2304,334,04A063,0,0,75.6,-,-,-,75.6,-,ว่างเปล่า/ไม่ทำประโยชน์
177,โฉนด,161.0,1674,166,04D182,0,0,66.0,-,-,-,66.0,-,ว่างเปล่า/ไม่ทำประโยชน์
195,โฉนด,179.0,1579,212,04D099,0,0,30.6,-,-,-,30.6,-,ว่างเปล่า/ไม่ทำประโยชน์
199,โฉนด,183.0,791,234,04C095,0,0,77.9,-,-,-,77.9,-,ว่างเปล่า/ไม่ทำประโยชน์
221,โฉนด,205.0,2158,665,01F092,0,1,35.7,-,-,-,135.7,-,ว่างเปล่า/ไม่ทำประโยชน์
248,โฉนด,233.0,1485,431,03H002,0,0,98.8,-,-,-,98.8,-,ว่างเปล่า/ไม่ทำประโยชน์
252,โฉนด,237.0,2411,425,03H010,0,1,6.6,-,-,-,106.6,-,ว่างเปล่า/ไม่ทำประโยชน์
297,โฉนด,281.0,1202,635,01F020,0,1,21.7,-,-,-,121.7,-,ว่างเปล่า/ไม่ทำประโยชน์
303,โฉนด,287.0,1207,578,01F044,0,1,8.0,-,-,-,108.0,-,ว่างเปล่า/ไม่ทำประโยชน์
311,โฉนด,295.0,1056,619,01E040,0,0,65.5,-,-,-,65.5,-,ว่างเปล่า/ไม่ทำประโยชน์
314,โฉนด,298.0,1145,586,01F037,0,2,15.5,-,-,-,215.5,-,ว่างเปล่า/ไม่ทำประโยชน์
331,โฉนด,315.0,1208,580,01F043,0,0,98.5,-,-,-,98.5,-,ว่างเปล่า/ไม่ทำประโยชน์
333,โฉนด,317.0,1144,587,01F038,0,1,70.6,-,-,-,170.6,-,ว่างเปล่า/ไม่ทำประโยชน์
334,โฉนด,318.0,1204,576,01F054,0,0,43.9,-,-,-,43.9,-,ว่างเปล่า/ไม่ทำประโยชน์
352,โฉนด,336.0,1205,577,01F049,0,0,70.9,-,-,-,70.9,-,ว่างเปล่า/ไม่ทำประโยชน์
371,โฉนด,355.0,706,287,04C056,0,0,72.5,-,-,-,72.5,-,ว่างเปล่า/ไม่ทำประโยชน์
395,โฉนด,377.0,2163,575,01F055,0,1,12.5,-,-,-,112.5,-,ว่างเปล่า/ไม่ทำประโยชน์
410,โฉนด,392.0,2424,543,03H020,0,0,78.0,-,-,-,78.0,-,ว่างเปล่า/ไม่ทำประโยชน์
428,โฉนด,409.0,2083,674,05A067,0,0,78.4,-,-,-,78.4,-,ว่างเปล่า/ไม่ทำประโยชน์
439,โฉนด,420.0,2472,562,03F115,0,1,99.8,-,-,-,199.8,-,ว่างเปล่า/ไม่ทำประโยชน์
491,โฉนด,472.0,1423,889,06A002,0,0,10.4,-,-,-,10.4,-,ว่างเปล่า/ไม่ทำประโยชน์
495,โฉนด,476.0,2198,380,02L021,0,0,70.6,-,-,-,70.6,-,ว่างเปล่า/ไม่ทำประโยชน์
507,โฉนด,489.0,1367,860,06A083,0,0,36.4,-,-,-,36.4,-,ว่างเปล่า/ไม่ทำประโยชน์
551,โฉนด,534.0,1512,568,03F092,0,3,81.6,-,-,-,381.6,-,ว่างเปล่า/ไม่ทำประโยชน์
579,โฉนด,562.0,1206,1698,01F050,0,0,78.5,-,-,-,78.5,-,ว่างเปล่า/ไม่ทำประโยชน์
585,โฉนด,568.0,1795,728,06B054,0,0,54.5,-,-,-,54.5,-,ว่างเปล่า/ไม่ทำประโยชน์
689,โฉนด,673.0,1196,641,01F058,0,1,34.7,-,-,-,134.7,-,ว่างเปล่า/ไม่ทำประโยชน์
695,โฉนด,679.0,1251,1001,02I070,0,0,78.0,-,-,-,78.0,-,ว่างเปล่า/ไม่ทำประโยชน์
752,โฉนด,736.0,2495,548,03G059,0,2,19.9,-,-,-,219.9,-,ว่างเปล่า/ไม่ทำประโยชน์
