ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
8,โฉนด,2050,1390,1435.0,01A006,0.0,0.0,93.0,-,-,-,93.0,-,ว่างเปล่า/ไม่ทำประโยชน์
14,โฉนด,2819,1395,1848.0,01A009,0.0,1.0,1.7,-,-,-,101.7,-,ว่างเปล่า/ไม่ทำประโยชน์
15,โฉนด,26931,1394,3453.0,01A009/001,0.0,0.0,99.3,-,-,-,99.3,-,ว่างเปล่า/ไม่ทำประโยชน์
16,โฉนด,26930,1393,3452.0,01A009/002,0.0,0.0,82.5,-,-,-,82.5,-,ว่างเปล่า/ไม่ทำประโยชน์
133,โฉนด,1115,303,1391.0,01B042,0.0,1.0,49.4,-,-,-,149.4,-,ว่างเปล่า/ไม่ทำประโยชน์
239,โฉนด,147150,866,6590.0,01D014/006,0.0,1.0,12.1,-,-,-,112.1,-,ว่างเปล่า/ไม่ทำประโยชน์
271,โฉนด,1012,683,1082.0,01D029,0.0,2.0,20.8,-,-,-,220.8,-,ว่างเปล่า/ไม่ทำประโยชน์
323,โฉนด,822,582,1105.0,01D058,0.0,0.0,36.3,-,-,-,36.3,-,ว่างเปล่า/ไม่ทำประโยชน์
359,โฉนด,148263,642,6607.0,01E004/016,0.0,2.0,83.4,-,-,-,283.4,-,ว่างเปล่า/ไม่ทำประโยชน์
412,โฉนด,81678,20,4834.0,01E037/001,0.0,0.0,14.2,-,-,-,14.2,-,ว่างเปล่า/ไม่ทำประโยชน์
461,โฉนด,281,1202,635.0,01F020,0.0,1.0,21.7,-,-,-,121.7,-,ว่างเปล่า/ไม่ทำประโยชน์
482,โฉนด,298,1145,586.0,01F037,0.0,2.0,15.5,-,-,-,215.5,-,ว่างเปล่า/ไม่ทำประโยชน์
492,โฉนด,317,1144,587.0,01F038,0.0,1.0,70.6,-,-,-,170.6,-,ว่างเปล่า/ไม่ทำประโยชน์
497,โฉนด,315,1208,580.0,01F043,0.0,0.0,98.5,-,-,-,98.5,-,ว่างเปล่า/ไม่ทำประโยชน์
498,โฉนด,287,1207,578.0,01F044,0.0,1.0,8.0,-,-,-,108.0,-,ว่างเปล่า/ไม่ทำประโยชน์
505,โฉนด,336,1205,577.0,01F049,0.0,0.0,70.9,-,-,-,70.9,-,ว่างเปล่า/ไม่ทำประโยชน์
506,โฉนด,562,1206,1698.0,01F050,0.0,0.0,78.5,-,-,-,78.5,-,ว่างเปล่า/ไม่ทำประโยชน์
510,โฉนด,318,1204,576.0,01F054,0.0,0.0,43.9,-,-,-,43.9,-,ว่างเปล่า/ไม่ทำประโยชน์
511,โฉนด,377,2163,575.0,01F055,0.0,1.0,12.5,-,-,-,112.5,-,ว่างเปล่า/ไม่ทำประโยชน์
514,โฉนด,673,1196,641.0,01F058,0.0,1.0,34.7,-,-,-,134.7,-,ว่างเปล่า/ไม่ทำประโยชน์
531,โฉนด,107876,2705,5047.0,01F073/001,0.0,0.0,33.7,-,-,-,33.7,-,ว่างเปล่า/ไม่ทำประโยชน์
532,โฉนด,136908,2724,6130.0,01F073/002,0.0,0.0,25.5,-,-,-,25.5,-,ว่างเปล่า/ไม่ทำประโยชน์
533,โฉนด,136907,2723,6129.0,01F073/003,0.0,0.0,25.5,-,-,-,25.5,-,ว่างเปล่า/ไม่ทำประโยชน์
534,โฉนด,136906,2722,6128.0,01F073/004,0.0,0.0,25.6,-,-,-,25.6,-,ว่างเปล่า/ไม่ทำประโยชน์
559,โฉนด,205,2158,665.0,01F092,0.0,1.0,35.7,-,-,-,135.7,-,ว่างเปล่า/ไม่ทำประโยชน์
615,โฉนด,2853,557,1941.0,02B002,0.0,0.0,61.8,-,-,-,61.8,-,ว่างเปล่า/ไม่ทำประโยชน์
634,โฉนด,1850,574,1446.0,02B016,45.0,2.0,12.1,-,-,-,18212.1,-,ว่างเปล่า/ไม่ทำประโยชน์
