ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
44,โฉนด,24.0,2097,34,04A102,0,2,2.8,202.8,-,-,-,-,ประกอบเกษตรกรรม
57,โฉนด,37.0,549,68,04B032,0,1,12.0,112.0,-,-,-,-,ประกอบเกษตรกรรม
148,โฉนด,131.0,2232,364,02L067,0,1,70.0,170.0,-,-,-,-,ประกอบเกษตรกรรม
213,โฉนด,197.0,2243,372,02L053,0,0,76.3,76.3,-,-,-,-,ประกอบเกษตรกรรม
225,โฉนด,209.0,2192,384,02L032,0,0,61.4,61.4,-,-,-,-,ประกอบเกษตรกรรม
247,โฉนด,232.0,1486,430,03H003,0,1,5.3,105.3,-,-,-,-,ประกอบเกษตรกรรม
272,โฉนด,256.0,1138,462,02K066,0,2,19.7,219.7,-,-,-,-,ประกอบเกษตรกรรม
285,โฉนด,269.0,1194,639,01F060,0,0,62.2,62.2,-,-,-,-,ประกอบเกษตรกรรม
317,โฉนด,301.0,1047,607,01E043,0,0,65.1,92.4,-,-,-,-,ประกอบเกษตรกรรม
321,โฉนด,305.0,1046,608,01E044,0,2,14.9,169.9,-,-,-,-,ประกอบเกษตรกรรม
341,โฉนด,325.0,1156,592,01F035,0,1,51.0,151.0,-,-,-,-,ประกอบเกษตรกรรม
344,โฉนด,328.0,1103,595,01F032,0,0,57.8,57.8,-,-,-,-,ประกอบเกษตรกรรม
354,โฉนด,338.0,2201,379,02L045,0,0,94.2,94.2,-,-,-,-,ประกอบเกษตรกรรม
381,โฉนด,364.0,2454,539,03H035,0,2,80.8,280.8,-,-,-,-,ประกอบเกษตรกรรม
390,โฉนด,373.0,1130,475,02K056,0,0,70.4,70.4,-,-,-,-,ประกอบเกษตรกรรม
424,โฉนด,405.0,477,702,05H025,0,0,62.7,62.7,-,-,-,-,ประกอบเกษตรกรรม
435,โฉนด,416.0,2117,649,01F079,1,1,5.2,505.2,-,-,-,-,ประกอบเกษตรกรรม
454,โฉนด,435.0,1105,600,01F024,0,1,58.0,158.0,-,-,-,-,ประกอบเกษตรกรรม
472,โฉนด,453.0,1638,223,04D153,0,0,54.5,54.5,-,-,-,-,ประกอบเกษตรกรรม
478,โฉนด,459.0,1750,824,06E035,0,1,1.4,101.4,-,-,-,-,ประกอบเกษตรกรรม
488,โฉนด,469.0,2316,819,06E020,0,0,99.4,99.4,-,-,-,-,ประกอบเกษตรกรรม
505,โฉนด,487.0,1380,842,06A076,0,0,12.1,12.1,-,-,-,-,ประกอบเกษตรกรรม
578,โฉนด,561.0,1749,1699,06E034,0,0,8.2,8.2,-,-,-,-,ประกอบเกษตรกรรม
622,โฉนด,606.0,2327,765,06F013,0,1,82.6,182.6,-,-,-,-,ประกอบเกษตรกรรม
631,โฉนด,615.0,1767,742,06F022,0,1,52.1,152.1,-,-,-,-,ประกอบเกษตรกรรม
687,โฉนด,671.0,1570,208,04D113,0,0,32.2,32.2,-,-,-,-,ประกอบเกษตรกรรม
727,โฉนด,711.0,2303,814,06E010,2,0,99.1,899.1,-,-,-,-,ประกอบเกษตรกรรม
731,โฉนด,715.0,1374,976,02K020,0,1,57.7,157.7,-,-,-,-,ประกอบเกษตรกรรม
798,โฉนด,782.0,1333,1180,03D080,0,0,72.3,72.3,-,-,-,-,ประกอบเกษตรกรรม
800,โฉนด,784.0,1384,1138,03F004,0,1,42.3,142.3,-,-,-,-,ประกอบเกษตรกรรม
816,โฉนด,800.0,1034,1113,01E020,0,3,24.8,324.8,-,-,-,-,ประกอบเกษตรกรรม
836,โฉนด,821.0,2344,768,06F032,0,1,94.3,64.7,-,-,-,-,ประกอบเกษตรกรรม
843,โฉนด,828.0,2328,767,06F025,0,2,50.4,250.4,-,-,-,-,ประกอบเกษตรกรรม
887,โฉนด,871.0,570,1072,01E008,0,2,1.9,101.9,-,-,-,-,ประกอบเกษตรกรรม
905,โฉนด,891.0,1637,195,04D151,0,0,98.4,98.4,-,-,-,-,ประกอบเกษตรกรรม
911,โฉนด,898.0,2428,518,03H057,0,0,49.0,49.0,-,-,-,-,ประกอบเกษตรกรรม
