order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc,type_of_usage
621,โฉนด,30688,565,3689.0,02B006/002,0.0,0.0,78.1,78.1,0.0,0.0,0.0,0.0,agriculture
628,โฉนด,99659,59,4974.0,02B007/003,0.0,0.0,89.5,89.5,0.0,0.0,0.0,0.0,agriculture
710,โฉนด,2346,314,1581.0,02D022,5.0,3.0,98.6,2398.6,0.0,0.0,0.0,0.0,agriculture
711,โฉนด,11157,649,2587.0,02D023,0.0,1.0,24.0,124.0,0.0,0.0,0.0,0.0,agriculture
712,โฉนด,11158,648,2588.0,02D024,0.0,1.0,24.0,124.0,0.0,0.0,0.0,0.0,agriculture
755,โฉนด,11246,666,2676.0,02D060,0.0,1.0,19.5,119.5,0.0,0.0,0.0,0.0,agriculture
759,โฉนด,11250,622,2680.0,02D064,0.0,1.0,16.1,116.1,0.0,0.0,0.0,0.0,agriculture
760,โฉนด,11251,623,2681.0,02D065,0.0,1.0,17.9,117.9,0.0,0.0,0.0,0.0,agriculture
768,โฉนด,11258,626,2688.0,02D072,0.0,1.0,16.0,116.0,0.0,0.0,0.0,0.0,agriculture
769,โฉนด,11259,626,2688.0,02D073,0.0,1.0,17.9,117.9,0.0,0.0,0.0,0.0,agriculture
770,โฉนด,11260,805,2690.0,02D074,0.0,1.0,20.0,120.0,0.0,0.0,0.0,0.0,agriculture
771,โฉนด,11261,808,2691.0,02D075,0.0,1.0,20.4,120.4,0.0,0.0,0.0,0.0,agriculture
773,โฉนด,11263,629,2693.0,02D077,0.0,1.0,13.2,113.2,0.0,0.0,0.0,0.0,agriculture
774,โฉนด,11264,628,2694.0,02D078,0.0,1.0,14.6,114.6,0.0,0.0,0.0,0.0,agriculture
775,โฉนด,11265,627,2695.0,02D079,0.0,1.0,16.6,116.6,0.0,0.0,0.0,0.0,agriculture
776,โฉนด,11266,806,2696.0,02D080,0.0,1.0,17.0,117.0,0.0,0.0,0.0,0.0,agriculture
777,โฉนด,11267,807,2697.0,02D081,0.0,1.0,18.6,118.6,0.0,0.0,0.0,0.0,agriculture
778,โฉนด,11268,631,2698.0,02D082,0.0,1.0,16.2,116.2,0.0,0.0,0.0,0.0,agriculture
779,โฉนด,11269,632,2699.0,02D083,0.0,1.0,16.0,116.0,0.0,0.0,0.0,0.0,agriculture
785,โฉนด,11275,642,2705.0,02D089,0.0,1.0,11.1,111.1,0.0,0.0,0.0,0.0,agriculture
786,โฉนด,11276,641,2706.0,02D090,0.0,1.0,12.5,112.5,0.0,0.0,0.0,0.0,agriculture
791,โฉนด,11051,600,2534.0,02E002,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,agriculture
792,โฉนด,11052,601,2535.0,02E003,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,agriculture
793,โฉนด,11053,602,2536.0,02E004,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,agriculture
794,โฉนด,11054,603,2537.0,02E005,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,agriculture
795,โฉนด,11055,604,2538.0,02E006,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,agriculture
803,โฉนด,11069,625,2552.0,02E014,0.0,1.0,3.7,103.7,0.0,0.0,0.0,0.0,agriculture
813,โฉนด,8582,611,2348.0,02E037,0.0,1.0,33.7,133.7,0.0,0.0,0.0,0.0,agriculture
814,โฉนด,116579,31,5101.0,02E037/001,0.0,1.0,99.0,199.0,0.0,0.0,0.0,0.0,agriculture
