ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),ลักษณะการทำประโยชน์
416,โฉนด,295,1056,619.0,01E040,0.0,0.0,65.5,65.5,ประกอบเกษตรกรรม
770,โฉนด,11260,805,2690.0,02D074,0.0,1.0,20.0,120.0,ประกอบเกษตรกรรม
771,โฉนด,11261,808,2691.0,02D075,0.0,1.0,20.4,120.4,ประกอบเกษตรกรรม
776,โฉนด,11266,806,2696.0,02D080,0.0,1.0,17.0,117.0,ประกอบเกษตรกรรม
777,โฉนด,11267,807,2697.0,02D081,0.0,1.0,18.6,118.6,ประกอบเกษตรกรรม
778,โฉนด,11268,631,2698.0,02D082,0.0,1.0,16.2,116.2,ประกอบเกษตรกรรม
779,โฉนด,11269,632,2699.0,02D083,0.0,1.0,16.0,116.0,ประกอบเกษตรกรรม
785,โฉนด,11275,642,2705.0,02D089,0.0,1.0,11.1,111.1,ประกอบเกษตรกรรม
786,โฉนด,11276,641,2706.0,02D090,0.0,1.0,12.5,112.5,ประกอบเกษตรกรรม
791,โฉนด,11051,600,2534.0,02E002,0.0,0.0,40.0,40.0,ประกอบเกษตรกรรม
844,โฉนด,11320,868,2750.0,02E067,0.0,1.0,20.7,120.7,ประกอบเกษตรกรรม
1446,โฉนด,8360,2196,2367.0,02L022,0.0,0.0,70.9,70.9,ประกอบเกษตรกรรม
1447,โฉนด,2816,2199,1427.0,02L023,0.0,0.0,71.1,71.1,ประกอบเกษตรกรรม
1563,โฉนด,1383,960,1517.0,03B006,3.0,0.0,39.4,1239.4,ประกอบเกษตรกรรม
1565,โฉนด,1389,961,1510.0,03B009,1.0,0.0,88.4,488.4,ประกอบเกษตรกรรม
1566,โฉนด,1381,962,1509.0,03B010,2.0,3.0,9.2,1109.2,ประกอบเกษตรกรรม
1649,โฉนด,10928,1054,2511.0,03D020,0.0,2.0,40.1,240.1,ประกอบเกษตรกรรม
1680,โฉนด,10934,1094,2497.0,03D054,0.0,1.0,34.6,134.6,ประกอบเกษตรกรรม
1681,โฉนด,10935,1095,2498.0,03D055,0.0,1.0,34.5,134.5,ประกอบเกษตรกรรม
1777,โฉนด,2625,1232,1549.0,03E004,0.0,0.0,62.9,62.9,ประกอบเกษตรกรรม
1779,โฉนด,27758,1231,3545.0,03E004/004,0.0,0.0,63.8,63.8,ประกอบเกษตรกรรม
2023,โฉนด,1898,1118,1754.0,03G001/001,1.0,2.0,60.7,660.7,ประกอบเกษตรกรรม
2052,โฉนด,19157,1167,3076.0,03G007,0.0,0.0,84.0,84.0,ประกอบเกษตรกรรม
2620,โฉนด,841,594,113.0,04B074,0.0,0.0,54.6,54.6,ประกอบเกษตรกรรม
3461,โฉนด,1168,1656,1692.0,05B027,0.0,1.0,26.0,126.0,ประกอบเกษตรกรรม
3462,โฉนด,1188,1653,1686.0,05B028,0.0,0.0,96.8,96.8,ประกอบเกษตรกรรม
3584,โฉนด,18873,1596,5.0,05C046,0.0,1.0,0.2,100.2,ประกอบเกษตรกรรม
3991,โฉนด,11598,268,2927.0,05F032,0.0,1.0,6.7,106.7,ประกอบเกษตรกรรม
4026,โฉนด,11632,301,2961.0,05F066,0.0,1.0,7.0,107.0,ประกอบเกษตรกรรม
4316,โฉนด,33820,246,3760.0,05I001/019,0.0,2.0,0.0,200.0,ประกอบเกษตรกรรม
4343,โฉนด,7469,609,2111.0,05I027,0.0,0.0,79.2,79.2,ประกอบเกษตรกรรม
4489,โฉนด,115134,13,5080.0,05J008/001,3.0,0.0,87.5,1287.5,ประกอบเกษตรกรรม
4490,โฉนด,115135,14,5081.0,05J008/002,3.0,0.0,87.0,1287.0,ประกอบเกษตรกรรม
4643,โฉนด,25239,1101,3222.0,05K014,0.0,1.0,0.2,100.2,ประกอบเกษตรกรรม
4644,โฉนด,25240,1102,3223.0,05K015,0.0,1.0,0.3,100.3,ประกอบเกษตรกรรม
4646,โฉนด,1443,1104,1650.0,05K018,0.0,2.0,98.4,298.4,ประกอบเกษตรกรรม
4805,โฉนด,45018,750,1006.0,05L075,0.0,1.0,0.0,100.0,ประกอบเกษตรกรรม
5114,โฉนด,91062,4,10277.0,05N008,0.0,0.0,83.0,83.0,ประกอบเกษตรกรรม
5115,โฉนด,91061,3,10276.0,05N009,0.0,0.0,83.0,83.0,ประกอบเกษตรกรรม
5121,โฉนด,1950,956,443.0,05N015,0.0,3.0,69.0,369.0,ประกอบเกษตรกรรม
5123,โฉนด,2587,1834,341.0,05N017,0.0,2.0,5.0,205.0,ประกอบเกษตรกรรม
