order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
5246,โฉนด,132395,2893,5840,06C055/001,0,0,65.2,,,,65.2,
5247,โฉนด,132394,2892,5839,06C055/002,0,0,65.2,,,65.2,,
5248,โฉนด,132393,2891,5838,06C055/003,0,0,65.2,,65.2,,,
5249,โฉนด,928,1191,948,06C056,0,0,95.2,,,,95.2,
5250,โฉนด,2891,1190,1956,06C057,0,0,89.3,,89.3,,,
5251,โฉนด,656,1182,954,06C058,0,0,91.6,,,91.6,,
5252,โฉนด,26098,1181,3385,06C058/001,0,0,95.8,,95.8,,,
5253,โฉนด,2879,1180,1950,06C059,0,1,6,,,,106,
5254,โฉนด,930,1186,955,06C060,0,1,12.3,,,,112.3,
5255,โฉนด,141709,2906,6465,06C060/001,0,1,12.4,,94.4,18,,
5256,โฉนด,926,1187,947,06C061,0,1,23.7,,123.7,,,
5257,โฉนด,26473,1188,3433,06C061/001,0,1,9.1,,109.1,,,
5258,โฉนด,96038,28,4923,06C061/003,0,0,80.5,,80.5,,,
5259,โฉนด,108978,29,5052,06C061/004,0,1,23.7,,,123.7,,
5260,โฉนด,965,1271,1713,06C062,0,0,21.9,,,21.9,,
5261,โฉนด,49226,1270,3913,06C062/001,0,0,21.8,,,21.8,,
5262,โฉนด,45117,1269,3837,06C062/002,0,0,43.1,,,43.1,,
5263,โฉนด,49227,1268,3914,06C062/003,0,0,21.5,,,21.5,,
5264,โฉนด,45118,1267,3838,06C062/004,0,0,21.5,,,21.5,,
5265,โฉนด,49225,1266,3912,06C062/005,0,0,21.5,,,21.5,,
5266,โฉนด,63801,49,4114,06C062/006,0,0,21.6,,,21.6,,
5267,โฉนด,45119,1265,3839,06C062/007,0,0,21.6,,,21.6,,
5268,โฉนด,45120,1264,3840,06C062/008,0,0,41.9,,,41.9,,
5269,โฉนด,4030,1210,2066,06C063,0,0,42.6,,,42.9,,
5270,โฉนด,128019,2821,5378,06C063/001,0,0,24.7,,,24.7,,
5271,โฉนด,8057,13,2289,06D001,0,3,47.2,,,347.2,,
5272,โฉนด,78521,14,4535,06D001/001,0,3,40.6,,,340.6,,
5273,โฉนด,119387,1540,5126,06D001/002,0,1,73.6,,,173.6,,
5274,โฉนด,8011,1468,2285,06D002,0,2,33.1,,233.1,,,
5275,โฉนด,8010,1469,2284,06D003,0,2,9.3,209.3,,,,
5276,โฉนด,8009,1470,2283,06D004,0,1,79.2,179.2,,,,
5277,โฉนด,8008,1471,2282,06D005,0,2,14.1,214.1,,,,
