ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
491,โฉนด,336,1205,577.0,01F049,0.0,0.0,70.9,-,-,-,70.9,-,ว่างเปล่า/ไม่ทำประโยชน์
492,โฉนด,562,1206,1698.0,01F050,0.0,0.0,78.5,-,-,-,78.5,-,ว่างเปล่า/ไม่ทำประโยชน์
494,โฉนด,11556,1215,2570.0,01F053,0.0,0.0,45.2,-,-,-,45.2,-,ว่างเปล่า/ไม่ทำประโยชน์
495,โฉนด,318,1204,576.0,01F054,0.0,0.0,43.9,-,-,-,43.9,-,ว่างเปล่า/ไม่ทำประโยชน์
496,โฉนด,377,2163,575.0,01F055,0.0,1.0,12.5,-,-,-,112.5,-,ว่างเปล่า/ไม่ทำประโยชน์
499,โฉนด,673,1196,641.0,01F058,0.0,1.0,34.7,-,-,-,134.7,-,ว่างเปล่า/ไม่ทำประโยชน์
507,โฉนด,18898,2123,3049.0,01F065,0.0,0.0,70.2,-,-,-,70.2,-,ว่างเปล่า/ไม่ทำประโยชน์
508,โฉนด,947,2124,1700.0,01F066,0.0,0.0,71.6,-,-,-,71.6,-,ว่างเปล่า/ไม่ทำประโยชน์
509,โฉนด,937,2125,645.0,01F067,0.0,0.0,81.9,-,-,-,81.9,-,ว่างเปล่า/ไม่ทำประโยชน์
516,โฉนด,107876,2705,5047.0,01F073/001,0.0,0.0,33.7,-,-,-,33.7,-,ว่างเปล่า/ไม่ทำประโยชน์
517,โฉนด,136908,2724,6130.0,01F073/002,0.0,0.0,25.5,-,-,-,25.5,-,ว่างเปล่า/ไม่ทำประโยชน์
518,โฉนด,136907,2723,6129.0,01F073/003,0.0,0.0,25.5,-,-,-,25.5,-,ว่างเปล่า/ไม่ทำประโยชน์
519,โฉนด,136906,2722,6128.0,01F073/004,0.0,0.0,25.6,-,-,-,25.6,-,ว่างเปล่า/ไม่ทำประโยชน์
520,โฉนด,136905,2721,6127.0,01F073/005,0.0,0.0,25.5,-,-,-,25.5,-,ว่างเปล่า/ไม่ทำประโยชน์
521,โฉนด,136904,2720,6126.0,01F073/006,0.0,0.0,25.5,-,-,-,25.5,-,ว่างเปล่า/ไม่ทำประโยชน์
532,โฉนด,416,2117,649.0,01F079,1.0,1.0,5.2,-,-,-,505.2,-,ว่างเปล่า/ไม่ทำประโยชน์
564,โฉนด,192,2155,667.0,01F099,0.0,0.0,97.7,-,-,-,97.7,-,ว่างเปล่า/ไม่ทำประโยชน์
598,โฉนด,2853,557,1941.0,02B002,0.0,0.0,61.8,-,-,-,61.8,-,ว่างเปล่า/ไม่ทำประโยชน์
599,โฉนด,2005,559,1454.0,02B003,0.0,2.0,14.1,-,-,-,214.1,-,ว่างเปล่า/ไม่ทำประโยชน์
619,โฉนด,1850,574,1446.0,02B016,45.0,2.0,12.1,-,-,-,18212.1,-,ว่างเปล่า/ไม่ทำประโยชน์
630,โฉนด,1851,578,1472.0,02B020,2.0,1.0,95.6,-,-,-,995.6,-,ว่างเปล่า/ไม่ทำประโยชน์
633,โฉนด,1853,575,1473.0,02B023,4.0,2.0,90.0,-,-,-,1890.0,-,ว่างเปล่า/ไม่ทำประโยชน์
653,โฉนด,85578,30,4614.0,02C022,1.0,3.0,68.7,-,-,-,768.7,-,ว่างเปล่า/ไม่ทำประโยชน์
659,โฉนด,1701,584,1465.0,02D005,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
660,โฉนด,93849,20,4901.0,02D005/001,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
661,โฉนด,93848,19,4900.0,02D005/002,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
662,โฉนด,93847,18,4899.0,02D005/003,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
663,โฉนด,93846,17,4898.0,02D005/004,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
664,โฉนด,93845,16,4897.0,02D005/005,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
665,โฉนด,93844,15,4896.0,02D005/006,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
666,โฉนด,93843,14,4895.0,02D005/007,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
694,โฉนด,11159,647,2589.0,02D025,0.0,1.0,29.2,-,-,-,129.2,-,ว่างเปล่า/ไม่ทำประโยชน์
695,โฉนด,11160,646,2590.0,02D026,0.0,1.0,33.5,-,-,-,133.5,-,ว่างเปล่า/ไม่ทำประโยชน์
696,โฉนด,11073,634,2556.0,02D027,0.0,1.0,2.3,-,-,-,102.3,-,ว่างเปล่า/ไม่ทำประโยชน์
697,โฉนด,11161,645,2591.0,02D028,0.0,1.0,8.0,-,-,-,108.0,-,ว่างเปล่า/ไม่ทำประโยชน์
698,โฉนด,11074,635,2557.0,02D029,0.0,1.0,2.1,-,-,-,102.1,-,ว่างเปล่า/ไม่ทำประโยชน์
